Source,Destination,Protocol,Length,Src_Port,Dst_Port,Timestamp,TCP_Flags,Label,Source_IP,Destination_IP
192.168.137.137,192.168.137.139,2,1066,47017,80,1717489764.8517725,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,47017,80,1717489764.8523157,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,42458,80,1717489764.8523157,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,42458,80,1717489764.8526974,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,42458,80,1717489764.8526978,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,42458,80,1717489764.853736,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,37132,80,1717489764.8537362,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,37132,80,1717489764.854924,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,37132,80,1717489764.8549244,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,37132,80,1717489764.8561008,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55907,80,1717489764.8561013,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55907,80,1717489764.8561013,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55907,80,1717489764.8561015,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55907,80,1717489764.8570876,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55646,80,1717489764.8570876,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55646,80,1717489764.8570879,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55646,80,1717489764.8570879,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55646,80,1717489764.85972,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38808,80,1717489764.8597207,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38808,80,1717489764.8597207,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38808,80,1717489764.859721,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,38808,80,1717489764.860066,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,44487,80,1717489764.8600664,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,44487,80,1717489764.8600664,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,44487,80,1717489764.8600667,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,44487,80,1717489764.8606844,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,59647,80,1717489764.8606849,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,59647,80,1717489764.8606849,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,59647,80,1717489764.860685,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,59647,80,1717489764.8623037,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,46468,80,1717489764.863251,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,46468,80,1717489764.8632512,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,46468,80,1717489764.8632514,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,46468,80,1717489764.8632514,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,47364,80,1717489764.8641064,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,47364,80,1717489764.8641067,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,47364,80,1717489764.8641067,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,47364,80,1717489764.8641067,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,60118,80,1717489764.864967,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,60118,80,1717489764.8649676,,UDP Flood,3232270729,3232270731
